;     Time	Volt	         X	         Y	        Th	      encX	      encY	     encTh	  corrEncX	  corrEncY	 corrEncTh	TransV	RotV
1491596616	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596616	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596617	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596617	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596617	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596617	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596617	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596617	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596617	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596617	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596617	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596617	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596618	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596618	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596618	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596618	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596618	13.00	     -7027	      -858	      -166	     -7027	      -858	      -166	     -7027	      -858	      -166	0	0
1491596618	13.00	     -7030	      -859	      -165	     -7030	      -859	      -165	     -7030	      -859	      -165	30	10
1491596618	13.00	     -7036	      -860	      -163	     -7036	      -860	      -163	     -7036	      -860	      -163	60	14
1491596618	13.00	     -7045	      -863	      -162	     -7045	      -863	      -162	     -7045	      -863	      -162	90	14
1491596618	13.00	     -7056	      -866	      -161	     -7056	      -866	      -161	     -7056	      -866	      -161	114	13
1491596618	13.00	     -7066	      -870	      -160	     -7066	      -870	      -160	     -7066	      -870	      -160	108	14
1491596619	13.00	     -7076	      -874	      -158	     -7076	      -874	      -158	     -7076	      -874	      -158	104	14
1491596619	13.00	     -7085	      -877	      -157	     -7085	      -877	      -157	     -7085	      -877	      -157	100	13
1491596619	13.00	     -7092	      -880	      -156	     -7092	      -880	      -156	     -7092	      -880	      -156	70	14
1491596619	13.00	     -7095	      -882	      -154	     -7095	      -882	      -154	     -7095	      -882	      -154	39	14
1491596619	13.00	     -7096	      -882	      -153	     -7096	      -882	      -153	     -7096	      -882	      -153	10	13
1491596619	13.00	     -7096	      -882	      -151	     -7096	      -882	      -151	     -7096	      -882	      -151	0	14
1491596619	13.00	     -7096	      -882	      -150	     -7096	      -882	      -150	     -7096	      -882	      -150	0	13
1491596619	13.00	     -7096	      -882	      -149	     -7096	      -882	      -149	     -7096	      -882	      -149	0	14
1491596619	13.00	     -7096	      -882	      -147	     -7096	      -882	      -147	     -7096	      -882	      -147	0	14
1491596619	13.00	     -7096	      -882	      -146	     -7096	      -882	      -146	     -7096	      -882	      -146	0	13
1491596620	13.00	     -7096	      -882	      -145	     -7096	      -882	      -145	     -7096	      -882	      -145	0	14
1491596620	13.00	     -7096	      -882	      -143	     -7096	      -882	      -143	     -7096	      -882	      -143	0	14
1491596620	13.00	     -7096	      -882	      -142	     -7096	      -882	      -142	     -7096	      -882	      -142	0	13
1491596620	13.00	     -7096	      -882	      -141	     -7096	      -882	      -141	     -7096	      -882	      -141	0	14
1491596620	13.00	     -7096	      -882	      -139	     -7096	      -882	      -139	     -7096	      -882	      -139	0	14
1491596620	13.00	     -7096	      -882	      -138	     -7096	      -882	      -138	     -7096	      -882	      -138	0	13
1491596620	13.00	     -7096	      -882	      -136	     -7096	      -882	      -136	     -7096	      -882	      -136	0	14
1491596620	13.00	     -7096	      -882	      -135	     -7096	      -882	      -135	     -7096	      -882	      -135	0	13
1491596620	13.00	     -7096	      -882	      -134	     -7096	      -882	      -134	     -7096	      -882	      -134	0	14
1491596620	13.00	     -7096	      -882	      -132	     -7096	      -882	      -132	     -7096	      -882	      -132	0	14
1491596621	13.00	     -7096	      -882	      -131	     -7096	      -882	      -131	     -7096	      -882	      -131	0	13
1491596621	13.00	     -7096	      -882	      -130	     -7096	      -882	      -130	     -7096	      -882	      -130	0	14
1491596621	13.00	     -7096	      -882	      -128	     -7096	      -882	      -128	     -7096	      -882	      -128	0	14
1491596621	13.00	     -7096	      -882	      -127	     -7096	      -882	      -127	     -7096	      -882	      -127	0	13
1491596621	13.00	     -7096	      -882	      -126	     -7096	      -882	      -126	     -7096	      -882	      -126	0	14
1491596621	13.00	     -7096	      -882	      -124	     -7096	      -882	      -124	     -7096	      -882	      -124	0	14
1491596621	13.00	     -7096	      -882	      -123	     -7096	      -882	      -123	     -7096	      -882	      -123	0	13
1491596621	13.00	     -7096	      -882	      -121	     -7096	      -882	      -121	     -7096	      -882	      -121	0	14
1491596621	13.00	     -7096	      -882	      -120	     -7096	      -882	      -120	     -7096	      -882	      -120	0	13
1491596621	13.00	     -7096	      -882	      -119	     -7096	      -882	      -119	     -7096	      -882	      -119	0	14
1491596622	13.00	     -7096	      -882	      -117	     -7096	      -882	      -117	     -7096	      -882	      -117	0	14
1491596622	13.00	     -7096	      -882	      -116	     -7096	      -882	      -116	     -7096	      -882	      -116	0	13
1491596622	13.00	     -7096	      -882	      -115	     -7096	      -882	      -115	     -7096	      -882	      -115	0	14
1491596622	13.00	     -7096	      -882	      -113	     -7096	      -882	      -113	     -7096	      -882	      -113	0	14
1491596622	13.00	     -7096	      -882	      -112	     -7096	      -882	      -112	     -7096	      -882	      -112	0	13
1491596622	13.00	     -7096	      -882	      -111	     -7096	      -882	      -111	     -7096	      -882	      -111	0	14
1491596622	13.00	     -7096	      -882	      -109	     -7096	      -882	      -109	     -7096	      -882	      -109	0	14
1491596622	13.00	     -7096	      -882	      -108	     -7096	      -882	      -108	     -7096	      -882	      -108	0	13
1491596622	13.00	     -7096	      -882	      -106	     -7096	      -882	      -106	     -7096	      -882	      -106	0	14
1491596623	13.00	     -7096	      -882	      -105	     -7096	      -882	      -105	     -7096	      -882	      -105	0	13
1491596623	13.00	     -7097	      -885	      -104	     -7097	      -885	      -104	     -7097	      -885	      -104	30	14
1491596623	13.00	     -7099	      -891	      -102	     -7099	      -891	      -102	     -7099	      -891	      -102	60	14
1491596623	13.00	     -7100	      -900	      -101	     -7100	      -900	      -101	     -7100	      -900	      -101	90	13
